Indirizzo Completo,A-Codice fiscale,A-Denominazione,First A-Sede/U.L.,Average of Lat,Average of Long
"VIA SAN ANTONIO 73/75, 33019, TRICESIMO, UD",02767430305,IMPRESA COSTRUZIONI BASSI ROBERTO & CLAUDIO S.R.L.,UL-1,46.159571,13.214281
"VIA SAN BARTOLOMEO 85, 33019, TRICESIMO, UD",01642910937,STYLE S.R.L.,UL-2,46.159444,13.182785
"VIA SAN BERNARDO 30/5, 33010, TAVAGNACCO, UD",01076460318,CENTRO BENESSERE DENTALE S.R.L.,UL-1,46.11066,13.240169
"VIA SAN BERNARDO 31, 33010, REANA DEL ROIALE, UD",02047620303,A&T 2000 S.P.A.,UL-3,46.11337,13.257134
"VIA SAN BERNARDO 7, 33010, REANA DEL ROJALE, UD",01339540302,SOCIETA  METALMECCANICA FRIULANA S.R.L.,UL-6,46.141874,13.237619
"VIA SAN BERNARDO SN, 33010, REANA DEL ROJALE, UD",02758730309,JULIA SRL,UL-1,46.141874,13.237619
"VIA SAN BIAGIO 25, 33030, COSEANO, UD",02595770302,BILIARDI MORATTI SRL,UL-2,46.099656,12.979843
"VIA SAN BIAGIO 8, 33080, SAN QUIRINO, PN",01846210936,PARTIDOR S.R.L.,UL-2,46.061009,12.689579
"VIA SAN CANCIANO 11, 34079, STARANZANO, GO",01202880314,VAM SERVIZI S.R.L.,UL-1,45.765576,13.519119
"VIA SAN CILINO 20-1, 34128, TRIESTE, TS",00908200322,MAPO S.R.L.,UL-2,45.656396,13.802561
"VIA SAN CILINO 40/D, 34128, TRIESTE, TS",01196360323,PRUNK CARNI S.R.L.,UL-1,45.655904,13.805911
"VIA SAN CILINO 73, 34128, TRIESTE, TS",01302660327,GI.VI. IMPIANTI ELETTRICI S.R.L.,UL-1,45.655917,13.801306
"VIA SAN DANIELE - POZZO 50/2, 33033, CODROIPO, UD",01866770934,ZR IMPIANTI SRL,UL-1,45.98728,12.96881
"VIA SAN DANIELE 26, 33030, SAN VITO DI FAGAGNA, UD",02931400309,AL BON STA  BEVI E MANGJA  S.R.L.S.,UL-1,46.092355,13.065887
"VIA SAN DANIELE 3, 33100, UDINE, UD",01138600315,FASHION SPACE SRL,UL-1,46.07083,13.230823
"VIA SAN DANIELE 38, 33030, COSEANO, UD",01545700302,LATIK SRL,UL-1,46.10217,13.01758
"VIA SAN DANIELE 4, 33037, PASIAN DI PRATO, UD",03015610300,CRSERVICE SRL,UL-1,46.078722,13.185577
"VIA SAN DANIELE 49, 33035, MARTIGNACCO, UD",02394030304,WORLD WIDE SERVICE SRL,UL-1,46.093645,13.126677
"VIA SAN DANIELE 5, 33170, PORDENONE, PN",01482240932,MORETTO GIUSEPPE S.R.L.,UL-1,45.978668,12.657315
"VIA SAN DANIELE 58, 33100, UDINE, UD",02904410301,AGENZIA SPHERA SRL,UL-1,46.071197,13.233225
"VIA SAN DANIELE 79, 33013, GEMONA DEL FRIULI, UD",02276940307,GIEFFECAR S.R.L.,UL-2,46.259293,13.102734
"VIA SAN DANIELE 92, 33010, TAVAGNACCO, UD",02363030301,ELITA SRL,UL-6,46.08871,13.19713
"VIA SAN FRANCESCO 1, 33019, TRICESIMO, UD",02816670307,LEGALEYE S.R.L.,UL-1,46.161768,13.210575
"VIA SAN FRANCESCO 10, 34133, TRIESTE, TS",01284880323,ITO SRL,UL-1,45.652659,13.778023
"VIA SAN FRANCESCO 11, 34124, TRIESTE, TS",00242980324,L. MERVI & CO. - S. A R.L.,UL-1,45.646231,13.767696
"VIA SAN FRANCESCO 14/1, 33010, TAVAGNACCO, UD",02840420307,DB STUDIO S.R.L.,UL-1,46.114063,13.210924
"VIA SAN FRANCESCO 14/1, 34133, TRIESTE, TS",01078830328,GE.FAS. S.R.L.,UL-1,45.652776,13.778298
"VIA SAN FRANCESCO 2, 34133, TRIESTE, TS",01290490323,HERBARIUM - SOCIETA  A RESPONSABILITA  LIMITATA,UL-1,45.652299,13.777356
"VIA SAN FRANCESCO 22, 34133, TRIESTE, TS",00987490323,GENERATION BYTE - S.R.L.,UL-2,45.653404,13.779464
"VIA SAN FRANCESCO 35, 33080, FIUME VENETO, PN",01224080323,CAF & SERVIZI FRIULI VENEZIA GIULIA S.R.L.,UL-4,45.930374,12.734759
"VIA SAN FRANCESCO 35, 34074, MONFALCONE, GO",00311860308,PORZIO S.R.L.,UL-1,45.810757,13.532505
"VIA SAN FRANCESCO 4, 33080, FIUME VENETO, PN",01647550936,FIRESTARS S.R.L.,UL-1,45.93082,12.735288
"VIA SAN FRANCESCO 5, 33170, PORDENONE, PN",00953590304,PERSEO ELETTRONICA S.R.L.,UL-1,45.956092,12.660871
"VIA SAN FRANCESCO 52, 34074, MONFALCONE, GO",01288080326,ADAPTA S.R.L.,UL-1,45.810455,13.532754
"VIA SAN FRANCESCO 58, 34074, MONFALCONE, GO",00405760315,ALLWORKS S.R.L.,UL-4,45.810335,13.532874
"VIA SAN FRANCESCO 70/A, 34133, TRIESTE, TS",00566630323,TELEVITA - SOCIETA  PER AZIONI,UL-2,45.65615,13.784378
"VIA SAN FRANCESCO 79, 33019, TRICESIMO, UD",01155210303,HAIR PRODUCTS S.R.L.,UL-2,46.16096,13.204299
"VIA SAN FRANCESCO D ASSISI 14/A, 34133, TRIESTE, TS",01213440322,IDEA CONVENIENZA S.R.L.,UL-5,45.652815,13.778388
"VIA SAN FRANCESCO D ASSISI 2, 34133, TRIESTE, TS",00916420326,DI ILIO NICOLA S.R.L.,UL-1,45.652299,13.777356
"VIA SAN FRANCESCO D ASSISI 40, 34133, TRIESTE, TS",02717210302,ZANUTTA S.P.A.,UL-3,45.654183,13.78118
"VIA SAN FRANCESCO D ASSISI 7A, 34133, TRIESTE, TS",01213440322,IDEA CONVENIENZA S.R.L.,UL-4,45.652398,13.777845
"VIA SAN GALLO 29, 33030, DIGNANO, UD",00500550306,SE. CO. CONSULT - S.R.L.,UL-2,46.087082,12.938025
"VIA SAN GERVASIO 2, 33045, NIMIS, UD",02767960301,IMMOBILIARE DUEDI S.R.L.,UL-1,46.200309,13.274544
"VIA SAN GIACOMO 1, 33040, POVOLETTO, UD",02452580307,SAN GIACOMO S.R.L.,UL-1,46.116466,13.299162
"VIA SAN GIACOMO 20/A, 33098, SAN MARTINO AL TAGLIAMENTO, PN",01569840935,ERMES TURCHET S.R.L.,UL-1,46.012362,12.865606
"VIA SAN GIACOMO 30, 34074, MONFALCONE, GO",80004330322,PROMO CONSULT S.R.L.,UL-1,45.803594,13.540658
"VIA SAN GIORGIO 1, 34123, TRIESTE, TS",00650290323,INVEST S.R.L.,UL-1,45.647562,13.763446
"VIA SAN GIORGIO 34, 33044, MANZANO, UD",02804610307,CED FOR JOB S.R.L.,UL-1,45.989318,13.382435
"VIA SAN GIORGIO 36 B, 33081, AVIANO, PN",01846210936,PARTIDOR S.R.L.,UL-1,46.073628,12.580758
"VIA SAN GIORGIO 44, 33019, TRICESIMO, UD",01804600300,FOX S.R.L.,UL-1,46.151906,13.220407
"VIA SAN GIORGIO 48, 33055, MUZZANA DEL TURGNANO, UD",02325040307,ELETTROKLIMA S.R.L.,UL-1,45.81984,13.13665
"VIA SAN GIORGIO 5, 34123, TRIESTE, TS",01256020320,EATS S.R.L.,UL-1,45.64716,13.764016
"VIA SAN GIORGIO 52, 33019, TRICESIMO, UD",01354240036,B. B. SERVICE S.R.L.,UL-3,46.151232,13.220892
"VIA SAN GIORGIO 60, 33019, TRICESIMO, UD",02201620305,NOGARO ISABELLA & C. S.R.L.,UL-1,46.151956,13.221213
"VIA SAN GIORGIO 94, 34079, STARANZANO, GO",01084800315,SATCOM S.R.L.,UL-1,45.794703,13.503122
"VIA SAN GIORGIO DI NOGARO 57/A, 33050, CARLINO, UD",01965600305,RALC ITALIA S.R.L.,UL-2,45.806886,13.198049
"VIA SAN GIORGIO DI NOGARO SNC, 33050, CARLINO, UD",02876960309,C.M.M. IMPIANTI S.R.L.,UL-1,45.802217,13.188164
"VIA SAN GIORGIO SNC, 33050, CARLINO, UD",02788670301,RV GLOBAL SRL,UL-1,45.802217,13.188164
"VIA SAN GIOVANNI 1, 34071, CORMONS, GO",01135470316,DUE DEL MONTE QUARIN S.R.L. - SOCIETA  AGRICOLA,UL-1,45.963831,13.470236
"VIA SAN GIOVANNI 102, 33044, MANZANO, UD",02168950307,PASMIL S.R.L.,UL-2,45.98766,13.398142
"VIA SAN GIOVANNI 102/C, 33044, MANZANO, UD",00513750307,TIEMMESET S.R.L.,UL-2,45.98766,13.398142
"VIA SAN GIOVANNI 11, 33070, POLCENIGO, PN",01820710935,OPIFICIO FRED S.R.L.,UL-1,46.029951,12.502331
"VIA SAN GIOVANNI 13, 33084, CORDENONS, PN",01740710932,SOCIETA  AGRICOLA CIMOLAI S.R.L.,UL-1,45.993957,12.708903
"VIA SAN GIOVANNI 18, 33044, MANZANO, UD",02849740309,CAPRICCIO  GROUP SRLS,UL-5,45.991893,13.393209
"VIA SAN GIOVANNI 2, 34170, GORIZIA, GO",02527610303,IDRA S.R.L.,UL-1,45.947656,13.625102
"VIA SAN GIOVANNI 21, 33044, MANZANO, UD",01058530328,CONFARTIGIANATO SERVIZI FRIULI VENEZIA GIULIA S.R.L.,UL-5,45.991282,13.395351
"VIA SAN GIOVANNI 45, 33044, MANZANO, UD",00513750307,TIEMMESET S.R.L.,UL-4,45.989058,13.397544
"VIA SAN GIOVANNI 57, 33044, MANZANO, UD",00481860302,ELETTRICA DUCALE S.R.L.,UL-1,45.987452,13.39879
"VIA SAN GIOVANNI 6, 33044, MANZANO, UD",01991660307,GELATERIA AL PANCIOTTO S.R.L.,UL-3,45.992608,13.392444
"VIA SAN GIOVANNI BOSCO 24, 33050, LESTIZZA, UD",03000890305,TECNOGEST SRL SEMPLIFICATA,UL-1,45.975097,13.139709
"VIA SAN GIOVANNI DEL TEMPIO 105, 33077, SACILE, PN",01720540937,DEMP SRL,UL-1,45.961234,12.520103
"VIA SAN GIOVANNI DEL TEMPIO 35/A, 33077, SACILE, PN",01675990939,GEFION S.R.L.,UL-1,45.961028,12.520354
"VIA SAN GIULIANO 2, 33170, PORDENONE, PN",01369030935,CREDIT AGRICOLE FRIULADRIA - SOCIETA  PER AZIONI,UL-22,45.952544,12.66939
"VIA SAN GIULIANO 35, 33170, PORDENONE, PN",01882370933,LEARN SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,45.95204,12.665491
"VIA SAN GIUSEPPE 17, 33082, AZZANO DECIMO, PN",01278530934,ROS S.R.L.,UL-2,45.881321,12.71447
"VIA SAN GIUSTO 1, 34074, MONFALCONE, GO",00569380306,STABILIMENTO ORTOPEDICO VARIOLO SRL O BREVEMENTE ORTOPEDIA VARIOLO SRL,UL-1,45.813905,13.518586
"VIA SAN GIUSTO 3, 34143, TRIESTE, TS",01328630320,EDIL GEST ITALIA SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,45.645488,13.772688
"VIA SAN GOTTARDO 50, 33100, UDINE, UD",00550170302,IFIM S.R.L.,UL-1,46.0776,13.28066
"VIA SAN GREGORIO BASSA 6/A, 33170, PORDENONE, PN",01420610931,ALIBUS INTERNATIONAL S.R.L.,UL-9,45.940526,12.652606
"VIA SAN LAZZARO 11, 34122, TRIESTE, TS",01219880323,040 GROUP SRL,UL-1,45.650772,13.775535
"VIA SAN LAZZARO 13, 34122, TRIESTE, TS",00826900326,DARK S.R.L.,UL-12,45.650919,13.775573
"VIA SAN LAZZARO 14, 34122, TRIESTE, TS",00802760322,AVVENTURA DUE - S.R.L.,UL-2,45.651535,13.775756
"VIA SAN LAZZARO 14/B, 34122, TRIESTE, TS",01318620323,NUOVA DA GIOVANNI S.R.L.,UL-1,45.651535,13.775756
"VIA SAN LAZZARO 14/D, 34122, TRIESTE, TS",00802760322,AVVENTURA DUE - S.R.L.,UL-3,45.651535,13.775756
"VIA SAN LAZZARO 15, 34122, TRIESTE, TS",00288130305,CROATTO  1901 SRL,UL-1,45.651008,13.775688
"VIA SAN LAZZARO 15/B, 34122, TRIESTE, TS",01148810326,COMPAGNIA DI TRIESTE S.R.L.,UL-2,45.651008,13.775688
"VIA SAN LAZZARO 15/C, 34121, TRIESTE, TS",01022930323,NEW DAY S.R.L.,UL-3,45.650078,13.767762
"VIA SAN LAZZARO 17, 34122, TRIESTE, TS",01189860313,MAROLLI SRLS,UL-4,45.651496,13.775961
"VIA SAN LAZZARO 4, 34122, TRIESTE, TS",01166760320,LAZZARO4 S.R.L.,UL-1,45.649992,13.774838
"VIA SAN LAZZARO 5/B, 34122, TRIESTE, TS",00051020329,FRATELLI COSULICH - SOCIETA  PER AZIONI ABBREVIABILE ANCHE IN F.LLI COSULICH S.P.A.,UL-30,45.650341,13.775527
"VIA SAN LAZZARO 6, 34122, TRIESTE, TS",01022930323,NEW DAY S.R.L.,UL-4,45.650211,13.774972
"VIA SAN LAZZARO 6B, 34122, TRIESTE, TS",01307090322,SPA TRIESTE S.R.L.S.,UL-1,45.650206,13.774986
"VIA SAN LORENZO 63, 33059, FIUMICELLO VILLA VICENTINA, UD",00378570931,PARADYSE S.R.L.,UL-1,45.813704,13.395283
"VIA SAN LORENZO 75, 33059, FIUMICELLO VILLA VICENTINA, UD",00378570931,PARADYSE S.R.L.,UL-3,45.813704,13.395283
"VIA SAN MARCO - ZONA ARTIGIANA SN, 33099, VIVARO, PN",01217100930,C.M.R. S.R.L.,UL-2,46.078226,12.776906
"VIA SAN MARCO 1, 33170, PORDENONE, PN",02852960307,ADRIAMONEY S.R.L.,UL-1,45.953661,12.660775
"VIA SAN MARCO 10, 33099, VIVARO, PN",01381940939,TOCCHET MACCHINE UTENSILI S.R.L.,UL-3,46.092242,12.769034
"VIA SAN MARCO 104, 33010, REANA DEL ROJALE, UD",02948470303,ROSSO 21 SRL,UL-1,46.163135,13.244136
"VIA SAN MARCO 17, 33010, REANA DEL ROIALE, UD",02028390306,O.F. MANSUTTI TRICESIMO S.R.L.,UL-1,46.159561,13.243177
"VIA SAN MARCO 17, 33099, VIVARO, PN",01381940939,TOCCHET MACCHINE UTENSILI S.R.L.,UL-2,46.078226,12.776906
"VIA SAN MARCO 25, 33099, VIVARO, PN",01776490938,BOR.MEC. S.R.L.,UL-1,46.091303,12.766415
"VIA SAN MARCO 28, 33099, VIVARO, PN",01743130930,MICRO METAL SRL,UL-1,46.091762,12.765919
"VIA SAN MARCO 3, 33031, BASILIANO, UD",02412720308,CEREDIL SRL,UL-1,46.005172,13.11611
"VIA SAN MARCO 36, 33080, ZOPPOLA, PN",01834780932,ASSOGROUP SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-2,45.970744,12.799593
"VIA SAN MARCO 43, 34144, TRIESTE, TS",01352390320,BCL TRASPORTI SRL,UL-1,45.64018,13.77412
"VIA SAN MARCO 49, 33010, REANA DEL ROIALE, UD",02155020304,PANIFICIO PASTICCERIA ALPE ADRIA S.R.L.,UL-5,46.163423,13.243963
"VIA SAN MARCO 55/57, 34144, TRIESTE, TS",02116270303,DI BETTA GIANNINO SRL,UL-1,45.639748,13.773308
"VIA SAN MARTINO 1, 33038, SAN DANIELE DEL FRIULI, UD",02659480301,SAN DANIELE BIOENERGIA SOCIETA  AGRICOLA S.R.L.,UL-1,46.148319,13.00953
"VIA SAN MARTINO 17, 33038, SAN DANIELE DEL FRIULI, UD",00819170309,MASTER-MEC S.R.L.,UL-1,46.144408,13.007954
"VIA SAN MARTINO 26, 33047, REMANZACCO, UD",02149800308,POLARIA S.R.L.,UL-1,46.078516,13.307616
"VIA SAN MARTINO 27, 33030, MAJANO, UD",01266930302,CIDIPI S.R.L.,UL-3,46.178463,13.055954
"VIA SAN MARTINO 28, 33038, SAN DANIELE DEL FRIULI, UD",02861550305,ESTERNA SERVIZI S.R.L.,UL-1,46.144088,13.008565
"VIA SAN MARTINO 34, 33037, PASIAN DI PRATO, UD",02775870302,IRON  PIU  SRL,UL-1,46.052721,13.201973
"VIA SAN MARTINO 35, 33030, MAJANO, UD",02822250300,QUARINO EDILIZIA SRL,UL-2,46.173606,13.053609
"VIA SAN MARTINO 40, 33038, SAN DANIELE DEL FRIULI, UD",02373570304,IND S.R.L.,UL-1,46.144117,13.008538
"VIA SAN MARTINO 7/A, 33081, AVIANO, PN",01569250937,MARVER S.R.L.,UL-1,46.109364,12.49843
"VIA SAN MARTINO 91, 33100, UDINE, UD",02067560306,A.P. FORNITURE S.R.L.,UL-3,46.051825,13.243022
"VIA SAN MARTINO 92, 33030, CAMPOFORMIDO, UD",02835190303,EUROCARTA 2.0 S.R.L.S.,UL-1,46.03332,13.20142
"VIA SAN MARTINO S.N., 33030, MAJANO, UD",02291040307,DUE EFFE S.R.L.,UL-1,46.176875,13.055502
"VIA SAN MARTINO SNC, 33054, LIGNANO SABBIADORO, UD",01032060939,AGRITUR S.R.L.,UL-3,45.668555,13.104086
"VIA SAN MARTINO, 33030, MAJANO, UD",01385240302,DAFFARA COSTRUZIONI S.R.L.,UL-1,46.176875,13.055502
"VIA SAN MAURIZIO 16, 34129, TRIESTE, TS",01480150307,CENTRO MANIFESTAZIONI 124-C.M. 124 SRL,UL-1,45.649676,13.780122
"VIA SAN MAURO 31, 33050, PAVIA DI UDINE, UD",00218360303,ACCIAIERIE BERTOLI SAFAU S.P.A.,UL-15,45.996285,13.302528
"VIA SAN MICHELE 13, 33075, MORSANO AL TAGLIAMENTO, PN",01147310930,SUPERMERCATI BERTONI S.R.L.,UL-1,45.846279,12.964508
"VIA SAN MICHELE 15, 33070, CANEVA, PN",01624810931,KARTON S.P.A.,UL-4,45.96105,12.451058
"VIA SAN MICHELE 338, 34170, GORIZIA, GO",00528930316,WEKER S.R.L.,UL-2,45.913526,13.595982
"VIA SAN MICHELE 351, 34170, GORIZIA, GO",01177830310,NMG EUROPE S.R.L.,UL-1,45.910479,13.589489
"VIA SAN MICHELE 353, 34170, GORIZIA, GO",01177830310,NMG EUROPE S.R.L.,UL-2,45.910595,13.589522
"VIA SAN MICHELE 4, 34126, TRIESTE, TS",01027970324,TOMMASEO S.R.L.,UL-3,45.64708,13.76897
"VIA SAN MICHELE 9, 33084, CORDENONS, PN",02361170307,FAN SRL,UL-1,45.981951,12.706756
"VIA SAN MICHELE 9, 34124, TRIESTE, TS",00986750321,LACOM S.R.L.,UL-16,45.646777,13.769093
"VIA SAN NICOLO  1, 34121, TRIESTE, TS",00990730327,HELLENIC LINES SRL IN BREVE HELLIN SRL,UL-1,45.651329,13.769297
"VIA SAN NICOLO  10, 34121, TRIESTE, TS",02914280306,FINPRO LAB S.R.L. - SOCIETA  TRA PROFESSIONISTI,UL-1,45.650433,13.772378
"VIA SAN NICOLO  11, 34121, TRIESTE, TS",00774010326,TRIESTESPORT S.R.L.,UL-5,45.650832,13.770827
"VIA SAN NICOLO  14, 34121, TRIESTE, TS",00677260325,MEDITRADE - S.R.L.,UL-1,45.651005,13.771199
"VIA SAN NICOLO  14/IP, 34121, TRIESTE, TS",01202470322,V.A. CARTURAN S.R.L.,UL-2,45.651005,13.771199
"VIA SAN NICOLO  15, 34121, TRIESTE, TS",00109340323,EDGAR H. GREENHAM & C. - S.R.L.,UL-5,45.650797,13.771186
"VIA SAN NICOLO  18/B, 34121, TRIESTE, TS",01131530329,PANIFICIO-PASTICCERIA TRAVAN S.R.L.,UL-3,45.650742,13.771823
"VIA SAN NICOLO  19, 34121, TRIESTE, TS",01199130327,P. BASTIANI S.R.L.,UL-3,45.650657,13.771691
"VIA SAN NICOLO  21, 34121, TRIESTE, TS",01022930323,NEW DAY S.R.L.,UL-5,45.650729,13.771976
"VIA SAN NICOLO  22, 34121, TRIESTE, TS",01272080324,ESTETIQUE B B - SOCIETA  A RESPONSABILITA  LIMITATA,UL-2,45.650679,13.772227
"VIA SAN NICOLO  24, 34121, TRIESTE, TS",01199130327,P. BASTIANI S.R.L.,UL-1,45.650635,13.77243
"VIA SAN NICOLO  27, 34121, TRIESTE, TS",01199130327,P. BASTIANI S.R.L.,UL-5,45.650315,13.772874
"VIA SAN NICOLO  28, 34121, TRIESTE, TS",01219880323,040 GROUP SRL,UL-4,45.650633,13.772991
"VIA SAN NICOLO  33, 34121, TRIESTE, TS",00653780320,PELLETTERIE BALLARIN S.R.L.,UL-2,45.650168,13.773358
"VIA SAN NICOLO  34/36, 34122, TRIESTE, TS",01022760324,GOLDEN HOTEL & RESORT S.R.L.,UL-4,45.651354,13.775008
"VIA SAN NICOLO  4, 34121, TRIESTE, TS",04211200276,POLICLINICA SMILE ITALIA S.R.L.,UL-1,45.651355,13.769933
"VIA SAN NICOLO  ND, 33078, SAN VITO AL TAGLIAMENTO, PN",01759120932,FITNESS STUDIO DI FUMAGALLI TONY S.R.L.,UL-2,45.917978,12.857311
"VIA SAN NICOLO  VESCOVO 3/A, 33076, PRAVISDOMINI, PN",01873490930,BSB SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA IN FORMA ABBREVIATA BSB S.R.L.S.,UL-1,45.818867,12.69409
"VIA SAN PAOLINO 42, 33040, PREMARIACCO, UD",02860540307,MMTEK SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,46.069002,13.390329
"VIA SAN PAOLO 26, 33100, UDINE, UD",02407240304,CENTRO COMMERCIALE DISCOUNT S.P.A.,UL-5,46.048918,13.225954
"VIA SAN PIETRO 1, 33020, ZUGLIO, UD",02905230302,PETRAS S.R.L.,UL-3,46.388574,12.992578
"VIA SAN PIETRO 12, 34075, SAN CANZIAN D ISONZO, GO",01190760320,PDA ASCENSORI SRL,UL-1,45.819672,13.466689
"VIA SAN PIETRO 53, 33013, GEMONA DEL FRIULI, UD",01781410301,ILSER S.R.L.,UL-2,46.286575,13.116176
"VIA SAN PIETRO 6, 33098, VALVASONE ARZENE, PN",01850190933,EPTA RETAILS S.R.L.,UL-2,45.996114,12.861505
"VIA SAN PIETRO IN PIAGNO 34, 33082, AZZANO DECIMO, PN",01815340938,HANDMADE ITALIAN DESIGN S.R.L.S.,UL-1,45.881321,12.71447
"VIA SAN POLO 122, 34074, MONFALCONE, GO",01970600308,LA FURLANA S.R.L.,UL-1,45.814269,13.518218
"VIA SAN POLO 124, 34074, MONFALCONE, GO",00482620317,SARTORI ODILO SRL,UL-2,45.813515,13.519624
"VIA SAN POLO 134, 34074, MONFALCONE, GO",01191970316,MEGA SRLS,UL-3,45.812432,13.520924
"VIA SAN POLO 135, 34074, MONFALCONE, GO",02821300304,TPM SRL,UL-4,45.813663,13.519033
"VIA SAN POLO 83, 34074, MONFALCONE, GO",01230640326,NUOVA SAN GIUSTO S.R.L.,UL-1,45.815981,13.516385
"VIA SAN QUIRINO 47, 33080, SAN QUIRINO, PN",01707010938,MM&V SERVIZI -  S.R.L.,UL-2,46.038687,12.678701
"VIA SAN ROCCO 117, 33100, UDINE, UD",02487880300,PANIFICIO BASSANI S.R.L.,UL-1,46.055739,13.220881
"VIA SAN ROCCO 24, 33080, PORCIA, PN",01183230935,B.F. MECCANICA S.R.L.,UL-1,45.958769,12.598893
"VIA SAN ROCCO 305, 33100, UDINE, UD",01519660300,S.I.A. CONSULTING S.R.L.,UL-1,46.051413,13.210148
"VIA SAN ROCCO 79/A, 33080, SAN QUIRINO, PN",01740710932,SOCIETA  AGRICOLA CIMOLAI S.R.L.,UL-3,46.02312,12.68964
"VIA SAN ROCCO 79/A, 33100, UDINE, UD",00647360304,ALLASSISERVICE DI TONEATTO ANDREA S.R.L.,UL-1,46.056684,13.222914
"VIA SAN ROCCO SNC, 33010, COLLOREDO DI MONTE ALBANO, UD",02128520307,ORNITALIA PRODUCT-SERVICE S.R.L.,UL-3,46.160872,13.134789
"VIA SAN ROCCO SNC, 33080, SAN QUIRINO, PN",01740710932,SOCIETA  AGRICOLA CIMOLAI S.R.L.,UL-2,46.0344,12.681534
"VIA SAN SEBASTIANO 1, 34121, TRIESTE, TS",00109290320,ZINELLI & PERIZZI ARREDAMENTO S.R.L.,UL-3,45.649175,13.767465
"VIA SAN SEBASTIANO 3, 34121, TRIESTE, TS",01249170935,IL TULIPANO S.R.L.,UL-1,45.648963,13.767304
"VIA SAN SEBASTIANO 5, 34121, TRIESTE, TS",00914810320,IMMOBILIARE CASA PROGRAMMA - SOCIETA  A RESPONSABILITA  LIMITATA,UL-1,45.648976,13.767606
"VIA SAN SEBASTIANO 7, 34121, TRIESTE, TS",02821220304,SANTOS SRL,UL-1,45.648701,13.767371
"VIA SAN SERVOLO 13/A, 34137, TRIESTE, TS",00974670325,NUOVA EDILCOLOR SRL,UL-1,45.644427,13.778586
"VIA SAN SERVOLO 13/B, 34137, TRIESTE, TS",00974670325,NUOVA EDILCOLOR SRL,UL-2,45.644427,13.778586
"VIA SAN SPIRIDIONE 12, 34121, TRIESTE, TS",01279220329,SANSPIRIDIONE12 S.R.L.S.,UL-1,45.651601,13.772998
"VIA SAN SPIRIDIONE 12/A, 34121, TRIESTE, TS",01220690323,LORA S.R.L.,UL-2,45.650078,13.767762
"VIA SAN TOMMASO SNC, 33050, CARLINO, UD",02578740306,VERDENERGIA S.R.L. SOCIETA  AGRICOLA,UL-2,45.802796,13.187925
"VIA SAN VALENTINO 29, 33170, PORDENONE, PN",01224080323,CAF & SERVIZI FRIULI VENEZIA GIULIA S.R.L.,UL-1,45.96818,12.667956
"VIA SAN VALENTINO 30, 33170, PORDENONE, PN",00844080325,CAF & SERVIZI FRIULI VENEZIA GIULIA S.R.L.,UL-1,45.967537,12.668598
"VIA SAN VIGILIO 20, 33080, PORCIA, PN",03795940265,PROGETTO & SVILUPPO S.R.L,UL-1,45.944354,12.609556
"VIA SAN VITO 34/A, 33080, FIUME VENETO, PN",02941630309,GEFF S.R.L.,UL-2,45.9203,12.7742
"VIA SANDRO PERTINI 5, 33010, BORDANO, UD",02732050303,LA EMME & C. S.R.L.,UL-2,46.315518,13.107685
"VIA SANGUARZO 5, 33043, CIVIDALE DEL FRIULI, UD",01101010310,CORMEDICA S.R.L.,UL-1,46.098835,13.439056
"VIA SANGUARZO 5-7, 33043, CIVIDALE DEL FRIULI, UD",02407240304,CENTRO COMMERCIALE DISCOUNT S.P.A.,UL-8,46.098835,13.439056
"VIA SANT AMBROGIO 35, 34074, MONFALCONE, GO",02846950307,MEGO S.R.L.,UL-1,45.807927,13.535227
"VIA SANT ANDREA 6, 33030, MORUZZO, UD",02951540307,LIBERTY SRL,UL-1,46.120007,13.157966
"VIA SANT ANTONIO 16, 33095, SAN GIORGIO DELLA RICHINVELDA, PN",80005210937,CASTELCOSA S.R.L.,UL-3,46.057879,12.88399
"VIA SANT ANTONIO 21, 33019, TRICESIMO, UD",02110450307,MILCO S.R.L.,UL-2,46.160296,13.213158
"VIA SANT ANTONIO 28, 33087, PASIANO DI PORDENONE, PN",00073610933,MESON S CUCINE SRL,UL-1,45.874557,12.610822
"VIA SANT ANTONIO 3, 34070, CAPRIVA DEL FRIULI, GO",02308630306,FERNANDO PIGHIN & FIGLI - SOCIETA  AGRICOLA A RESPONSABILITA  LIMITATA O PIU  BREVEMENTE EFFEPI - S.AGR. A R.L.,UL-1,45.942132,13.51439
"VIA SANT ANTONIO 32, 33059, FIUMICELLO VILLA VICENTINA, UD",01111510317,ZIGANTE S.R.L.,UL-1,45.806911,13.399512
"VIA SANT ANTONIO 9, 33087, PASIANO DI PORDENONE, PN",01688470937,C&C GROUP OSPITALITA  ITALIANA SRL,UL-1,45.874133,12.612801
"VIA SANT APOLLINARE 3, 34131, TRIESTE, TS",00503750317,I SABBADIN - S.R.L.,UL-1,45.646931,13.778727
"VIA SANT EGIDIO 59, 33074, FONTANAFREDDA, PN",00559280938,GRIMEL - S.R.L.,UL-2,45.964797,12.556225
